Time,acc_x,acc_y,acc_x,fx,fy,fz
0.2153,-0.00541265,0.043479,0.0243131,-0.258036,0.80413,-0.112623
0.216,-0.00501172,0.0449875,0.0224308,-0.563305,0.956686,0.0396432
0.2167,-0.00541265,0.0453801,0.0213328,-0.410671,1.2618,-0.112623
0.2173,-0.00501172,0.0461447,0.0213328,-0.258036,1.56691,-0.112623
0.218,-0.00427666,0.0472813,0.0216465,-0.410671,1.56691,-0.265339
0.2187,-0.00387573,0.0480459,0.0216465,-0.715815,1.10924,-0.265339
0.2193,-0.00347479,0.0480459,0.0213328,-0.563305,1.2618,-0.570773
0.22,-0.00273974,0.0480459,0.0201564,-0.715815,1.41435,-0.723039
0.2207,-0.00273974,0.0488105,0.0182741,-0.715815,1.10924,-0.265339
0.2213,-0.00307385,0.0488105,0.0167055,-0.258036,1.56691,0.0396432
0.222,-0.00307385,0.0488105,0.0156075,-0.563305,1.71947,-0.418056
0.2227,-0.00347479,0.0488105,0.0148232,-0.868449,1.56691,-0.112623
0.2233,-0.00347479,0.0488105,0.014431,-0.105526,1.2618,0.0396432
0.224,-0.00307385,0.0499471,0.0136467,0.199742,0.956686,-0.418056
0.2247,-0.00273974,0.0507117,0.0129409,-0.105526,1.10924,-0.418056
0.2253,-0.00307385,0.0511043,0.0125487,-0.563305,1.10924,-0.418056
0.226,-0.00387573,0.0518689,0.0129409,-0.563305,1.56691,-0.112623
