"","participant","phase","day","group","N","slope","sd","first_result","second_result","Fgroup"
"204","10","1",1,"15",50,-3.30792010965098,0.808709814407178,"T","F<0","success"
"205","10","1",2,"15",50,-2.07499821940137,0.410061818109603,"T","F<0","success"
"206","10","1",3,"15",50,-1.68039491689618,0.34903722901571,"T","F<0","success"
"207","10","1",4,"15",50,-1.50082077771133,0.407621841117364,"T","F<0","success"
"208","10","1",5,"15",50,-1.73697236334571,0.575291561901149,"T","F<0","success"
"209","10","1",6,"15",50,-1.49719260068323,0.504864526095196,"T","F<0","success"
"210","10","1",7,"15",50,0.0320872200914356,1.18676972458431,"T","F<0","success"
"211","10","1",8,"15",50,0.573938269880277,0.865384379824761,"T","F<0","success"
"212","10","1",9,"15",50,1.74602317590896,0.694465324281605,"T","F<0","success"
"213","10","1",10,"15",50,2.2121524098795,0.628331375004473,"T","F<0","success"
"214","10","1",11,"15",50,2.56700443279069,0.677449776131448,"T","F<0","success"
"215","10","2",1,"15",50,-1.31175602132077,0.570179597252095,"T","F<0","success"
"216","10","2",2,"15",51,-0.996123720540437,0.832504439411872,"T","F<0","success"
"217","10","2",3,"15",50,-0.486055262561496,1.09167625260587,"T","F<0","success"
"218","10","2",4,"15",50,-1.24160695508383,0.512517010226981,"T","F<0","success"
"219","10","2",5,"15",50,-1.68571813418016,0.535673980963226,"T","F<0","success"
"220","10","2",6,"15",50,-0.957837752993751,1.05383245683715,"T","F<0","success"
"221","10","2",7,"15",50,0.413710036600039,1.07648473161099,"T","F<0","success"
"222","10","2",8,"15",50,-1.10651113342099,1.027379592664,"T","F<0","success"
"223","10","2",9,"15",50,-1.05345947484049,1.17860589097976,"T","F<0","success"
"224","10","2",10,"15",50,-0.554301838096608,1.02797489784001,"T","F<0","success"
"225","10","2",11,"15",50,-0.294311368047926,0.941900051000757,"T","F<0","success"
"226","10","2",12,"15",50,0.409487122409065,0.98853190921776,"T","F<0","success"
"227","10","2",13,"15",50,-0.42606723244759,1.42956500622411,"T","F<0","success"
"228","10","2",14,"15",50,-1.20755287970339,1.09002874224921,"T","F<0","success"
"229","10","2",15,"15",50,0.080495367271882,1.4864322899622,"T","F<0","success"
"230","11","1",1,"15",50,-1.01289615332533,0.589657976327327,"F","F>0","creeping"
"231","11","1",2,"15",50,-0.736083728679637,0.526141205149368,"F","F>0","creeping"
"232","11","1",3,"15",50,-0.935889283516613,1.27590848952413,"F","F>0","creeping"
"233","11","1",4,"15",50,-1.31172148112942,0.615952446628067,"F","F>0","creeping"
"234","11","1",5,"15",50,-0.737735606303683,0.987795539700895,"F","F>0","creeping"
"235","11","1",6,"15",50,-0.94710323242386,0.329182331120198,"F","F>0","creeping"
